report	1	16.191-16.192	88.640-95.625	33.935-36.438
report	2	21.839-23.558	78.180-85.720	33.870-38.914
report	3	19.539-20.022	114.675-124.421	45.706-47.384
report	4	17.377-19.974	95.474-104.760	44.655-51.513
report	5	16.135-18.042	102.006-105.353	44.603-47.349
report	6	21.650-23.271	106.730-108.019	41.062-44.527
report	7	22.726-23.871	107.134-118.741	37.611-37.878
report	8	16.915-18.390	85.925-89.071	46.746-47.012
report	9	20.774-21.684	110.550-118.061	44.871-45.083
report	10	19.450-21.695	90.357-102.955	39.629-44.169
report	11	19.986-22.369	99.536-106.430	37.225-39.552
report	12	20.231-22.088	88.071-96.395	38.403-41.885
report	13	16.671-17.879	118.129-120.003	40.351-45.001
report	14	19.049-20.071	112.138-112.386	37.245-40.967
report	15	17.624-18.588	106.107-117.177	31.628-33.803
report	16	21.879-24.644	90.512-92.307	35.736-37.974
report	17	21.128-22.923	104.925-117.383	38.809-40.706
report	18	23.441-26.314	113.891-120.840	34.800-40.262
report	19	22.980-24.159	81.773-93.208	38.549-38.736
report	20	21.596-24.042	79.207-88.897	39.594-42.952
report	21	17.041-19.252	78.945-91.454	45.427-50.553
report	22	16.825-18.873	95.451-110.318	32.267-34.403
report	23	23.955-26.234	81.609-94.572	41.277-44.962
report	24	23.962-27.477	94.153-100.202	37.794-40.974
report	25	22.120-25.087	103.046-106.466	38.579-44.034
report	26	16.981-19.413	103.907-119.389	37.266-38.046
report	27	23.858-24.595	121.667-122.436	37.056-41.596
report	28	18.294-20.468	93.995-100.424	45.247-48.326
report	29	19.390-19.823	114.885-115.014	33.245-34.357
report	30	21.132-22.531	85.433-96.572	46.216-52.516
suspect	1	21.297	89.603	36.313
report	31	17.241-18.883	111.985-114.030	37.888-39.706
report	32	21.117-24.526	83.175-94.952	43.782-50.880
report	33	25.535-25.733	96.504-105.912	31.348-35.601
report	34	20.364-23.375	112.173-116.327	45.052-49.814
report	35	22.649-23.711	91.763-97.681	44.592-47.746
report	36	22.185-23.631	113.234-114.264	34.050-39.143
report	37	18.262-19.591	83.268-88.075	40.767-47.318
report	38	24.939-28.938	96.248-110.835	40.944-47.530
report	39	25.996-29.143	84.078-89.727	32.203-36.003
report	40	18.751-20.867	102.044-104.804	44.196-48.660
report	41	21.378-22.987	89.832-92.771	36.661-41.842
